question,option_a,option_b,option_c,option_d,correct_answer,difficulty
What does PDCA stand for? (Q31),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q32),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q33)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q34),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q35),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q36),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q37),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q38)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q39),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q40),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q41),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q42),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q43)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q44),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q45),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q46),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q47),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q48)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q49),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q50),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q51),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q52),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q53)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q54),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q55),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q56),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q57),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q58)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q59),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q60),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q61),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q62),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q63)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q64),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q65),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q66),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q67),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q68)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q69),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q70),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q71),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q72),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q73)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q74),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q75),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q76),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q77),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q78)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q79),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q80),Plan,Do,Check,Act,D,easy
"During the Plan phase, which activity is most appropriate? (Q1)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q2)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q3),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q4),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q5),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q6)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q7)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q8),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q9),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q10),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q11)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q12)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q13),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q14),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q15),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q16)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q17)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q18),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q19),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q20),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q21)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q22)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q23),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q24),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q25),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q26)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q27)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q28),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q29),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q30),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q31)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q32)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q33),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q34),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q35),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q36)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q37)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q38),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q39),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q40),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q41)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q42)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q43),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q44),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q45),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q46)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q47)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q48),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q49),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q50),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q51)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q52)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q53),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q54),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q55),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
"During the Plan phase, which activity is most appropriate? (Q56)",Define problem clearly with data,Implement full-scale solution,Reward employees,Purchase new equipment immediately,A,medium
"If results do not meet target in Check phase, next step should be: (Q57)",Adjust and restart PDCA cycle,Ignore the gap,Increase pressure on workers,Close project immediately,A,medium
Which tool best supports root cause analysis in PDCA? (Q58),Fishbone diagram,Payroll sheet,Marketing plan,Purchase order,A,medium
Running pilot testing before full rollout happens in which phase? (Q59),Plan,Do,Check,Act,B,medium
Why is PDCA considered cyclical? (Q60),It promotes continuous improvement,It ends after one project,It replaces management,It avoids measurement,A,medium
A team implemented a solution without data collection. Which PDCA violation occurred? (Q1),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q2)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q3)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q4),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q5),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q6),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q7)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q8)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q9),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q10),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q11),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q12)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q13)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q14),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q15),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q16),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q17)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q18)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q19),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q20),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q21),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q22)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q23)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q24),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q25),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q26),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q27)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q28)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q29),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q30),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q31),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q32)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q33)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q34),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q35),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q36),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q37)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q38)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q39),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q40),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q41),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q42)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q43)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q44),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q45),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q46),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q47)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q48)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q49),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q50),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q51),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q52)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q53)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q54),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q55),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
A team implemented a solution without data collection. Which PDCA violation occurred? (Q56),Plan phase skipped,Act phase skipped,Check phase skipped,Do phase skipped,A,hard
"If improvement worked in pilot but failed in full deployment, what should leaders do? (Q57)",Re-evaluate assumptions and restart PDCA,Blame operators,Stop improvement efforts,Increase inspection only,A,hard
"If targets are unrealistic during Check phase, Lean thinking suggests: (Q58)",Revisit planning assumptions,Ignore performance gap,Increase overtime,Lower quality standards,A,hard
Which situation reflects misuse of PDCA? (Q59),Jumping to solution without root cause,Using data before action,Running small pilot first,Standardizing best practice,A,hard
A recurring problem appears after standardization. What is best action? (Q60),Start new PDCA cycle,Ignore since standardized,Punish team,Increase batch size,A,hard
